,Unnamed: 0,Unnamed: 0.1,primary_identifier,gender,network_stay,average_monthly_bill_amount,dusage_sum,dusage_min,dusage_max,dusage_avg,dusage_days,dusage_stddev,vusage_onnet_sum,vusage_onnet_max,vusage_onnet_min,vusage_onnet_days,vusage_onnet_avg,vusage_onnet_stddev,vusage_offnet_sum,vusage_offnet_max,vusage_offnet_min,vusage_offnet_days,vusage_offnet_avg,vusage_offnet_stddev,number_of_fixed_bb_accounts,number_of_iptv_accounts,add_on_tot_rental,add_on_count,next_month_plan,device_type_2G,device_type_3G,device_type_4G,device_category_Basic,device_category_Feature phone,device_category_M2M,device_category_Modem,device_category_Pluggable card,device_category_Smartphone,device_category_Tablet,district_name_Ampara,district_name_Anuradhapura,district_name_Badulla,district_name_Batticaloa,district_name_Colombo,district_name_Galle,district_name_Gampaha,district_name_Hambantota,district_name_Jaffna,district_name_Kalutara,district_name_Kandy,district_name_Kegalle,district_name_Kilinochchi,district_name_Kurunegala,district_name_Mannar,district_name_Matale,district_name_Matara,district_name_Monaragala,district_name_Mullaitivu,district_name_Nuwara Eliya,district_name_Polonnaruwa,district_name_Puttalam,district_name_Ratnapura,district_name_Trincomalee,district_name_Unknown,district_name_Vavuniya,age_group_20-30,age_group_30-40,age_group_40-50,age_group_50-60,age_group_60-70,age_group_<20,age_group_>70
10405,10473,10473,4619350,0,3.0796377117495064,-0.07107631948336429,-0.033676200448670035,0.2394248306168846,-0.24184543066518102,-0.07364803229957899,0.5315742380576914,-0.2529680109514498,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,0.2458839985302068,0.20496031070114512,-0.06872212832548465,1.4982532399260615,-0.02788734774894586,0.1998509325701905,-0.22338709069839915,-0.4946586862187778,360.0,-0.9213502974615921,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10406,10474,10474,6600781,1,-0.5304302377985174,0.8764000774054561,0.689598788070126,1.3763918762931622,0.3447633197139145,0.6325877858485309,0.5315742380576914,0.22809299326256355,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,-0.5327951311543365,-0.6790224469745636,-0.06872212832548465,-0.9503839315195156,-0.6592855134478373,-0.6763188964904107,-0.22338709069839915,-0.4946586862187778,2240.0,-0.9213502974615921,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10407,10475,10475,1306906,0,0.5387052703368589,0.785946804800502,0.5410530097286357,0.0012983621757555904,1.0391688203685645,0.4875795197825816,0.5315742380576914,0.9863791882867128,4.560750347431162,2.441394307578795,-0.008191219786383173,7.420796041825866,2.079617089795714,2.8732949134473817,-0.08783562847745464,0.036949638361733976,-0.06872212832548465,0.11424092563073544,0.17415793433252671,0.10051447389725544,-0.22338709069839915,-0.4946586862187778,520.1797990481227,-0.9213502974615921,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10408,10476,10476,8813448,0,2.315969491652809,-0.4606437974295502,0.5184914542734219,2.2858302982771987,-0.07045739947911057,0.4655062126782719,0.5315742380576914,-0.25938987824839105,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,-0.2626411473862297,-0.04782638896549175,-0.06872212832548465,0.007778439915710333,-0.09837417938676038,-0.0816717411388568,-0.22338709069839915,3.4533400918754036,250.0,1.1393476834411616,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10409,10477,10477,7677510,0,-0.3082722101340236,0.3673796854389301,-0.8048711869177961,-0.43456261477509456,-0.7898750031538301,-0.8267291543732905,-2.5784563861572125,-0.8244043877844087,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,-0.5327951311543365,-0.6790224469745636,-0.06872212832548465,-0.9503839315195156,-0.6592855134478373,-0.6763188964904107,-0.22338709069839915,1.4793407028283123,300.0,-0.0010650278305105987,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10410,10478,10478,7838671,0,0.42762625650461206,-0.6604472462885912,0.5334703381982333,-0.3127260665967787,1.711351192852708,0.4801422515947355,0.5315742380576914,1.1688652000375004,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,-0.46922948791478203,-0.5356738916758,-0.06872212832548465,-0.4180715029443901,-0.40932599661867775,-0.5191231161598674,-0.22338709069839915,-0.4946586862187778,750.0,1.1393476834411616,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10411,10479,10479,9602031,0,0.5525901470658897,0.2922634381337195,-0.32424168737187803,-0.4345568193896978,-0.3280933088329499,-0.35737059177045977,0.5315742380576914,-0.3360902527831338,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,-0.5327951311543365,-0.6790224469745636,-0.06872212832548465,-0.9503839315195156,-0.6592855134478373,-0.6763188964904107,-0.22338709069839915,-0.4946586862187778,610.0,-0.9213502974615921,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10412,10480,10480,6637022,0,0.19158335211108735,0.060069317494853676,2.7177769633167834,2.4826402651798083,3.108450208682459,2.6130200497727074,0.5315742380576914,2.8476415328614637,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,-0.5327951311543365,-0.6790224469745636,-0.06872212832548465,-0.9503839315195156,-0.6592855134478373,-0.6763188964904107,-0.22338709069839915,-0.4946586862187778,2600.0,1.1393476834411616,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10413,10481,10481,7122405,0,-0.7525882654630112,-1.2121087897880272,-0.12995126766664847,-0.43456261477509456,0.01463314841742475,-0.03581785155723053,0.013235800688540748,0.20277090058259464,-0.1887864347614072,-0.24588430174256534,-0.008191219786383173,0.4549523969545369,-0.2598546501223771,-0.2356726174254468,-0.3182610852208399,-0.16882490069616854,-0.06872212832548465,-0.09868404579931477,-0.15538428160474005,-0.16452846598660445,-0.22338709069839915,-0.4946586862187778,520.1797990481227,0.10899869298978483,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10414,10482,10482,8539148,0,0.5387052703368589,0.09852444606751268,-0.17376916462512154,1.4689861516035085e-05,-0.2381780718822332,-0.2104409437319301,0.5315742380576914,-0.3215636225366797,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,4.886175955017689,2.52397000367953,-0.06872212832548465,2.137028154216212,2.7991638257228897,3.113696236513467,-0.22338709069839915,-0.4946586862187778,250.0,-0.0010650278305105987,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10415,10483,10483,3257340,0,1.3579129973496795,1.1862079884602703,0.4145715624797099,-0.34386105854422216,0.1062347567424284,0.36403636288589947,0.5315742380576914,0.00803799376387105,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,-0.5327951311543365,-0.6790224469745636,-0.06872212832548465,-0.9503839315195156,-0.6592855134478373,-0.6763188964904107,-0.22338709069839915,-0.4946586862187778,520.1797990481227,0.10899869298978483,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10416,10484,10484,6037906,0,-1.169134567333937,-0.09956238161119026,-0.1908612520911926,-0.43456261477509456,-0.05155748510389957,-0.20649019130548146,0.4279065505838613,0.16815581200828994,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,-0.5327951311543365,-0.6790224469745636,-0.06872212832548465,-0.9503839315195156,-0.6592855134478373,-0.6763188964904107,-0.22338709069839915,-0.4946586862187778,100.0,1.1393476834411616,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10417,10485,10485,8914022,0,0.3026623659433343,-0.34952071733347434,-0.3898131501962597,-0.43456261477509456,-0.029800151926434326,-0.39247877747110776,0.32423886311003114,-0.04500991820881499,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,1.1675858255037477,1.2261260944154555,-0.06872212832548465,1.7111782113561118,0.6021768481499875,1.0787107723639244,-0.22338709069839915,-0.4946586862187778,560.0,-0.9213502974615921,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10418,10486,10486,2764050,1,-1.071940430230721,-0.8416844521356953,-0.7910732108542771,-0.4334589380274152,-0.7597037988487898,-0.8132098038107598,0.5315742380576914,-0.7916011436546225,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,-0.5248494257493922,-0.6258447571056674,-0.06872212832548465,-0.8439214458044905,-0.4901952520634058,-0.6356265060375655,-0.22338709069839915,-0.4946586862187778,460.0,-0.0010650278305105987,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10419,10487,10487,4341989,0,-1.1135950604178135,0.263094948733382,0.4894659821037667,-0.43456261477509456,0.3094380380923101,0.6316480571871905,0.11690348816237088,0.37855425124298425,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,0.32534105257965,0.3891554973484812,-0.06872212832548465,0.965940811350936,0.2304124399718562,0.5155627438313019,-0.22338709069839915,-0.4946586862187778,200.0,1.1393476834411616,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10420,10488,10488,4334272,1,-0.8497824025662272,0.08012705104052696,0.3133864046805692,0.6798627242870711,-0.012925909597327642,0.2652265197472909,0.5315742380576914,0.07131132072129873,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,-0.40566384467522737,-0.4061977772124007,-0.06872212832548465,-0.31160901722936496,-0.2565729585564136,-0.4055229378440071,-0.22338709069839915,-0.4946586862187778,400.0,-0.9213502974615921,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10421,10489,10489,1726417,1,0.2748926124852725,0.570581199995116,-0.4883878800914914,-0.30553149530849383,-0.5624481984940457,-0.5176860009542127,0.5315742380576914,-0.5280513694713515,-0.1887864347614072,-0.25886980911646723,-0.008191219786383173,-0.2782943025056029,-0.2751041813810257,-0.24536655917978506,-0.5327951311543365,-0.6790224469745636,-0.06872212832548465,-0.9503839315195156,-0.6592855134478373,-0.6763188964904107,-0.22338709069839915,1.4793407028283123,0.0,-0.9213502974615921,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
