,network_stay,average_monthly_bill_amount,dusage_days,dusage_stddev,vusage_onnet_sum,vusage_onnet_max,vusage_onnet_days,vusage_onnet_avg,vusage_onnet_stddev,vusage_offnet_sum,vusage_offnet_max,vusage_offnet_days,vusage_offnet_stddev,add_on_tot_rental,next_month_plan,device_type_2G,device_type_3G,device_type_4G,device_category_Basic,device_category_Feature phone,device_category_Smartphone,district_name_Colombo,district_name_Jaffna,age_group_30-40
0,0.6945337620578778,0.400862540277656,1.0,0.028511590576874055,0.0,0.0,0.0,0.0,0.0,0.2562452687358062,0.3202737621342272,0.9,0.38220132872140133,0.02666118622089461,2,0,0,1,0,0,1,0,0,0
1,0.10610932475884244,0.4573702897758374,1.0,0.08292384385526343,0.0,0.0,0.0,0.0,0.0,0.028766086298258893,0.0742370277253998,0.5,0.07454681100305044,0.030848329048843187,1,0,0,1,0,0,1,0,0,0
2,0.5884244372990354,0.4272605152059336,1.0,0.08964264089405687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,1,0,0,1,0,0,1
3,0.06752411575562701,0.4545782310043629,1.0,0.3144835062053515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0570694087403599,4,0,0,1,0,0,1,1,0,0
4,0.10932475884244373,0.45800172915223925,1.0,0.04760964414808065,0.0,0.0,0.0,0.0,0.0,0.09765329295987887,0.18356728821845097,0.7666666666666666,0.17839471613664926,0.06940874035989718,4,0,0,1,0,0,1,0,0,0
5,0.08681672025723472,0.3921254945536301,1.0,5.0573788208915935e-06,0.0,0.0,0.0,0.0,0.0,0.000757002271006813,0.0022347929324673514,0.1,0.0025667421493406934,0.02666118622089461,1,1,0,0,1,0,0,0,0,0
6,0.10289389067524116,0.4407771925279345,1.0,0.025632488613192197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005655526992287918,5,0,0,1,0,0,1,0,0,1
7,0.5369774919614148,0.4718996343036747,1.0,0.03216194778703495,0.01429046194749086,0.02354608812064417,0.24137931034482757,0.027721113997981574,0.024036349823688304,0.0,0.0,0.0,0.0,0.03341902313624679,5,0,0,1,0,0,1,0,0,1
8,0.14469453376205788,0.39140474081925564,0.23333333333333334,0.048793112265294,0.002326354270521768,0.0158286411780919,0.06896551724137931,0.016120547121599278,0.010739810852466098,0.012869038607115822,0.04794329212933863,0.1,0.05125377666929536,0.005655526992287918,2,0,0,1,0,0,1,0,0,0
9,0.2508038585209003,0.41934864220832374,1.0,0.048423616190111866,0.002326354270521768,0.017482379808638815,0.034482758620689655,0.03336840523072298,0.011047573035202585,0.004163512490537471,0.014281723584049163,0.2,0.014414028894470621,0.018508997429305913,2,0,0,1,0,0,1,1,0,0
10,0.19614147909967844,0.4288087401979955,1.0,0.035882060889018734,0.0,0.0,0.0,0.0,0.0,0.010219530658591975,0.023919268105314608,0.23333333333333334,0.029135145531833953,0.038046272493573265,3,0,0,1,0,0,1,0,0,1
11,0.0932475884244373,0.37585386332210663,0.13333333333333333,0.005269523934664501,0.0,0.0,0.0,0.0,0.0,0.000757002271006813,0.004364829946225294,0.06666666666666667,0.008555904922219047,0.005655526992287918,1,0,0,1,0,0,1,0,0,1
12,0.07395498392282958,0.43453470995654786,1.0,0.03266197858307308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666118622089461,5,0,0,1,0,0,1,0,0,1
13,0.562700964630225,0.3921517634824456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005299015897047691,0.028423772609819115,0.1,0.028156167725893803,0.02666118622089461,1,1,0,0,1,0,0,0,0,0
14,0.04823151125401929,0.42604918922593016,0.8666666666666667,0.008491073437789903,0.018943170488534396,0.046422805843209826,0.13793103448275862,0.06497068991432435,0.04545854717108784,0.007948523845571537,0.023151058034778963,0.16666666666666666,0.02592449164401701,0.02666118622089461,1,0,1,0,0,0,1,0,0,0
15,0.292604501607717,0.43582615616943854,1.0,0.027818282188951816,0.002991026919242273,0.023034216639760602,0.034482758620689655,0.04396512851345257,0.014555923931516923,0.017789553368660106,0.04476569592848662,0.36666666666666664,0.048460335250022996,0.017994858611825194,3,0,0,1,0,0,1,1,0,1
16,0.157556270096463,0.3874440430771029,1.0,0.013419861678561977,0.0,0.0,0.0,0.0,0.0,0.0026495079485238456,0.005901250087296599,0.2,0.00723105372822415,0.02666118622089461,2,0,0,1,0,0,1,1,0,1
