primary_identifier,next_month_plan
2003793,2
1776101,2
6945050,1
2472049,6
7197266,1
2099980,1
4515595,1
4155971,1
4203824,2
4397850,1
5564784,2
8042819,2
4887835,2
7876737,1
8586725,3
4192710,5
8692886,5
2734029,1
8619873,2
8591720,8
2736902,4
1302512,6
6236339,8
2515939,2
4007286,5
4189111,6
1198957,4
7630599,2
5179554,1
3849110,8
9921234,5
7846621,5
3063762,3
7230281,1
7645170,2
9834627,3
1561943,6
8159623,6
4745105,2
6238198,3
6536712,2
6835837,3
9840782,6
9817473,8
4677724,2
8757935,4
9670187,2
1530338,2
4057212,1
8766616,1
7031680,2
1491069,3
7532437,5
9660215,3
4478979,2
8803684,2
2673030,4
3225354,1
7152868,2
3179169,1
2224348,3
7604192,2
3982237,3
5566730,3
5654973,2
1776383,1
3854674,3
1919483,3
4651764,1
4474656,3
1795642,8
6065257,3
2785623,6
6818861,2
5879576,8
6302710,1
7664304,2
7612029,6
2827711,2
2466639,3
7181670,3
4657905,2
9911891,7
1812207,2
5788490,3
2018132,2
4750385,1
7389653,8
4829600,2
5870369,4
1664193,6
5738994,3
3891124,2
4956977,1
2280455,1
5442145,1
9690915,3
2879482,5
1676804,1
1413694,1
9095217,1
3440394,3
7639903,2
7843616,8
8658882,1
1129960,5
2195886,2
4147033,2
7484224,4
1053494,2
5054202,3
7522183,2
9272428,5
2668629,1
6887862,3
2408222,2
6827205,2
5479278,1
7293700,4
6211646,2
2287562,4
9906740,3
6712888,3
7215367,1
4619709,7
4991295,3
8862316,2
1405780,5
2823054,2
6666497,3
8970659,2
5808184,1
5629721,2
1354971,8
7028838,2
6628173,5
2450232,1
1158974,1
3553918,8
7451075,6
6551842,7
2712784,2
6403752,2
2917990,2
2290191,2
2806364,1
2547943,4
1106746,8
9535518,5
5828115,3
3576888,3
1261876,2
6435719,1
1906946,1
4965840,1
9299909,2
1472878,2
1754200,5
4550812,8
6195783,2
1827020,2
1143355,5
7463157,2
6548879,2
3315170,4
7683859,1
8096711,1
6037264,8
3882846,3
5924179,3
5703892,1
1145961,4
2437167,1
1280772,3
2527454,2
6522603,2
8349253,2
8041643,2
2504295,8
3880218,1
9117275,3
2941924,1
2318131,2
4759027,2
3193576,2
6501833,1
2086725,6
1741042,2
9227318,3
2159580,6
4113682,2
8022158,1
8762907,3
9452509,2
8942397,2
1349385,2
8647776,6
1693664,3
1006766,1
6504706,2
1175738,5
3112039,7
3651976,8
8932144,1
3136993,2
4370183,2
4669473,5
5221252,2
8266878,2
3586170,6
2713847,4
8937390,3
2461650,1
6694423,1
9887579,3
