primary_identifier,next_month_plan
2003793,1
1776101,1
6945050,5
2472049,1
7197266,5
2099980,1
4515595,3
4155971,1
4203824,3
4397850,1
5564784,4
8042819,4
4887835,1
7876737,1
8586725,1
4192710,5
8692886,5
2734029,2
8619873,1
8591720,7
2736902,4
1302512,8
6236339,8
2515939,2
4007286,3
4189111,5
1198957,7
7630599,2
5179554,2
3849110,7
9921234,6
7846621,3
3063762,5
7230281,1
7645170,1
9834627,2
1561943,4
8159623,4
4745105,2
6238198,2
6536712,2
6835837,2
9840782,7
9817473,7
4677724,1
8757935,3
9670187,1
1530338,5
4057212,6
8766616,1
7031680,2
1491069,4
7532437,8
9660215,1
4478979,4
8803684,2
2673030,1
3225354,1
7152868,8
3179169,1
2224348,8
7604192,7
3982237,1
5566730,1
5654973,1
1776383,1
3854674,2
1919483,8
4651764,1
4474656,2
1795642,7
6065257,5
2785623,6
6818861,3
5879576,5
6302710,2
7664304,2
7612029,5
2827711,4
2466639,3
7181670,2
4657905,3
9911891,6
1812207,1
5788490,7
2018132,4
4750385,2
7389653,7
4829600,3
5870369,2
1664193,5
5738994,5
3891124,1
4956977,5
2280455,1
5442145,1
9690915,3
2879482,5
1676804,5
1413694,2
9095217,1
3440394,4
7639903,1
7843616,3
8658882,1
1129960,5
2195886,1
4147033,3
7484224,4
1053494,1
5054202,1
7522183,2
9272428,5
2668629,1
6887862,5
2408222,5
6827205,2
5479278,2
7293700,3
6211646,6
2287562,3
9906740,4
6712888,4
7215367,1
4619709,5
4991295,2
8862316,1
1405780,3
2823054,1
6666497,5
8970659,2
5808184,1
5629721,1
1354971,8
7028838,1
6628173,5
2450232,2
1158974,2
3553918,4
7451075,5
6551842,8
2712784,8
6403752,4
2917990,5
2290191,2
2806364,1
2547943,2
1106746,8
9535518,5
5828115,1
3576888,1
1261876,1
6435719,5
1906946,3
4965840,1
9299909,1
1472878,1
1754200,5
4550812,8
6195783,3
1827020,2
1143355,5
7463157,4
6548879,4
3315170,4
7683859,4
8096711,2
6037264,5
3882846,3
5924179,4
5703892,2
1145961,5
2437167,1
1280772,5
2527454,5
6522603,3
8349253,1
8041643,5
2504295,8
3880218,1
9117275,5
2941924,1
2318131,2
4759027,4
3193576,5
6501833,4
2086725,3
1741042,2
9227318,8
2159580,6
4113682,2
8022158,1
8762907,5
9452509,3
8942397,1
1349385,1
8647776,5
1693664,1
1006766,2
