primary_identifier,next_month_plan
2003793,7
1776101,2
6945050,6
2472049,1
7197266,5
2099980,1
4515595,1
4155971,2
4203824,1
4397850,3
5564784,4
8042819,3
4887835,1
7876737,5
8586725,1
4192710,5
8692886,5
2734029,1
8619873,5
8591720,5
2736902,4
1302512,7
6236339,8
2515939,2
4007286,3
4189111,5
1198957,4
7630599,3
5179554,1
3849110,5
9921234,8
7846621,1
3063762,5
7230281,1
7645170,1
9834627,2
1561943,4
8159623,5
4745105,3
6238198,2
6536712,2
6835837,3
9840782,7
9817473,8
4677724,2
8757935,1
9670187,2
1530338,5
4057212,6
8766616,1
7031680,2
1491069,1
7532437,5
9660215,2
4478979,3
8803684,2
2673030,2
3225354,4
7152868,8
3179169,1
2224348,6
7604192,3
3982237,6
5566730,1
5654973,1
1776383,1
3854674,2
1919483,8
4651764,2
4474656,2
1795642,5
6065257,2
2785623,7
6818861,3
5879576,5
6302710,2
7664304,2
7612029,7
2827711,4
2466639,4
7181670,4
4657905,1
9911891,6
1812207,1
5788490,7
2018132,4
4750385,2
7389653,4
4829600,3
5870369,4
1664193,5
5738994,7
3891124,1
4956977,1
2280455,2
5442145,1
9690915,2
2879482,5
1676804,1
1413694,3
9095217,1
3440394,3
7639903,1
7843616,3
8658882,1
1129960,5
2195886,2
4147033,3
7484224,4
1053494,2
5054202,1
7522183,1
9272428,3
2668629,2
6887862,5
2408222,5
6827205,2
5479278,2
7293700,4
6211646,6
2287562,4
9906740,4
6712888,3
7215367,1
4619709,2
4991295,2
8862316,3
1405780,5
2823054,1
6666497,6
8970659,2
5808184,2
5629721,1
1354971,8
7028838,1
6628173,5
2450232,1
1158974,2
3553918,4
7451075,1
6551842,8
2712784,8
6403752,3
2917990,1
2290191,2
2806364,2
2547943,1
1106746,8
9535518,5
5828115,1
3576888,2
1261876,2
6435719,1
1906946,2
4965840,2
9299909,1
1472878,1
1754200,5
4550812,8
6195783,1
1827020,2
1143355,5
7463157,3
6548879,3
3315170,4
7683859,4
8096711,1
6037264,5
3882846,2
5924179,4
5703892,2
1145961,5
2437167,4
1280772,5
2527454,6
6522603,3
8349253,1
8041643,5
2504295,5
3880218,2
9117275,5
2941924,1
2318131,5
4759027,4
3193576,5
6501833,1
2086725,4
1741042,1
9227318,7
2159580,5
4113682,2
8022158,1
8762907,5
9452509,3
8942397,1
1349385,1
8647776,5
1693664,3
1006766,1
6504706,1
1175738,5
3112039,1
3651976,1
8932144,4
3136993,3
4370183,2
4669473,6
5221252,3
8266878,2
3586170,8
2713847,2
8937390,4
2461650,1
6694423,1
9887579,6
4426179,2
2957461,6
9060346,2
2532590,5
9320663,2
4365639,2
8781830,2
7822141,5
5455986,2
9846653,6
2210268,4
7014920,5
6971055,3
6847886,3
6256313,1
1204272,8
1687158,4
6337872,1
1324975,1
5513702,1
2706404,1
3580959,2
6263728,3
2113672,5
1390101,1
5119108,2
1949303,2
6140467,3
8037047,4
8006342,3
8095372,1
2511704,4
5216363,1
1558751,3
4929533,3
6191127,3
6852753,8
8307807,3
2832254,1
8320902,8
5356962,3
5871018,2
2963545,5
4576628,4
2958101,4
2614982,1
2048847,2
4468799,8
5807306,4
2920788,8
2775664,4
4495015,5
4265712,1
2325498,3
7104613,1
5835284,5
9696565,3
4175000,8
4868508,4
8385863,5
3951612,1
2830582,1
8017610,6
7393024,1
7245821,1
3674927,4
9120683,5
9108388,1
1755743,6
3674938,4
8678678,2
6944410,3
6993086,3
6928089,2
7550577,5
2329685,1
8411105,1
2454053,4
7991669,1
4249579,8
6022542,8
8761570,3
3441720,3
7746519,8
9442941,1
6442978,8
9818091,5
7716635,1
2952455,1
7780669,4
5027380,1
4972132,2
4073079,4
1596480,7
1685270,5
6762028,1
4415365,1
6944474,1
7149843,2
8552951,2
9733672,4
1672661,4
2263862,1
3170800,3
7449588,1
9275473,5
7072881,3
3938831,2
1354993,3
5913682,4
5894117,5
3475094,1
3627044,2
9624651,3
2126224,2
3672317,1
9598771,4
5403318,4
4843689,8
4162645,1
3321136,3
2427912,4
1391999,1
5829811,1
6182650,8
6782467,5
5241645,6
9856989,1
4470802,3
8718191,7
5235645,1
9152598,1
3638435,2
6259994,6
7155422,7
3519126,1
2692386,1
3221452,2
4355459,2
5652029,3
2546905,7
7629251,6
9567264,2
5887363,5
3029460,2
9880278,2
8536133,2
6957423,8
2029049,5
9632635,2
8540149,4
8007569,1
2094239,2
2087175,4
7748582,4
4271343,4
1138355,1
9236402,4
6939151,3
3869807,5
8639687,6
1867693,2
3503545,2
3488315,4
5393807,8
1861669,5
9346950,8
3093450,4
2250951,4
1405017,1
9887485,4
2721683,2
4348324,2
6590205,5
4546295,3
7890114,1
2791513,1
6865490,1
3031047,2
3690843,3
5656619,5
2024708,6
7387256,7
2237764,3
5622632,5
1966823,8
4638811,5
3541332,5
4799022,7
6174327,8
3077748,1
4004351,1
5569003,6
1439536,3
9725758,7
4107332,1
3914392,7
9646365,8
2278396,4
8764354,5
3197666,3
7351424,1
7155751,1
1934001,1
1786779,5
4512114,2
7151207,4
6529320,6
7343263,3
8415006,3
3931158,1
5611049,8
9434803,4
2644248,1
9624083,1
9760983,1
5492656,4
2896127,4
8393177,7
1002777,4
3944342,3
4071075,5
3900315,4
5530629,4
4065207,5
6953461,1
2863818,1
7749882,3
2251316,3
6466904,5
8566151,3
9190747,3
6249805,2
6618788,2
9989708,5
2083205,8
1497328,2
1957777,5
9239418,3
7018678,6
9691900,1
1060082,3
7473939,3
9730860,1
9706328,5
7386547,1
6996677,1
1492991,1
8817962,8
6251427,5
1266775,5
6701208,1
2693522,5
5425042,3
2092699,1
6277537,1
3244887,5
7124319,5
6296978,1
9108878,1
6389170,5
8996178,5
7819028,1
2773639,3
3196075,4
2552198,2
6368451,5
3443282,1
5704787,1
6721754,1
8854125,2
8093320,5
7836533,2
4200898,4
1698340,1
1447921,1
4980406,3
5635115,5
7828295,2
7397781,1
5324248,2
7036251,5
9421236,3
7194136,4
9023724,4
2260848,1
7566842,6
8898449,2
2669066,4
2424639,1
1155797,3
4058703,1
9317802,2
6376783,2
2684768,7
8339776,3
9765243,3
1286615,8
5595184,1
3113973,2
4442080,5
6354306,5
8235754,1
3221404,4
4939499,8
2061672,2
8846283,8
3599041,1
6669063,1
5390907,6
8126045,8
4695200,4
4648958,8
4705331,7
6137233,5
2136909,4
2173144,8
1655171,5
5638082,5
2990608,5
2895388,2
8512081,2
2223940,4
9426138,1
1944885,1
6578934,2
2242042,2
8435431,1
7411898,1
6086625,1
2011978,3
3511466,1
6689649,3
4803420,4
7298049,1
5449631,1
1359206,6
5684189,5
3788587,6
2767490,1
1971636,5
1229104,5
4007735,6
3256564,2
7904992,5
3058532,8
1416272,3
4895768,4
7621119,1
3573830,7
2524313,1
7938960,5
8120180,1
8068534,5
7975886,2
8280788,2
9626171,1
1388588,1
1001886,3
9612652,5
3316919,2
4276238,3
4368507,5
2420662,1
3313006,4
5115497,4
1442501,1
3496280,8
7788441,5
1863675,5
9332566,1
8575640,3
1600785,3
6418677,4
9928047,1
6545843,4
4384045,1
8762833,3
9010400,3
9527274,2
3960386,2
2866682,3
3433090,3
1753472,8
4080740,4
5949887,5
8125727,5
1374895,5
1701838,8
2046379,5
6438973,4
4722012,8
8513195,5
5817195,8
9595256,1
1674873,4
3359270,1
4339654,8
4480247,5
5119171,5
9602766,7
7450724,5
8053093,2
2393468,1
5411044,8
9054676,2
4694206,2
5427864,1
2158332,5
3716824,6
3111656,2
8780719,5
3108216,1
7574162,1
6835607,3
7697787,6
6340540,4
6344144,5
6298440,5
4683707,2
4959148,1
1751595,2
3170337,1
1784892,1
9272318,5
4505078,3
8250309,4
4644618,5
9426698,6
3765127,8
2742437,5
3939824,1
1554558,4
4442955,4
8131396,1
3380444,3
1624042,3
2088687,1
2633519,2
2967162,5
2228482,4
2883342,1
7770220,1
7082758,8
3783929,1
9054759,5
5286667,1
8398184,4
3993251,2
1305586,2
9883900,1
2386573,1
9535428,1
9000161,2
9325556,2
7591992,5
8763580,5
8120083,4
4471173,1
5526299,1
7255761,2
3858053,5
9340490,3
8953788,1
4387462,8
9825954,5
5337513,5
