primary_identifier,next_month_plan
2003793,1
1776101,2
6945050,8
2472049,1
7197266,5
2099980,1
4515595,2
4155971,2
4203824,1
4397850,1
5564784,3
8042819,4
4887835,2
7876737,1
8586725,7
4192710,5
8692886,5
2734029,1
8619873,2
8591720,6
2736902,5
1302512,6
6236339,6
2515939,3
4007286,3
4189111,5
1198957,4
7630599,2
5179554,5
3849110,7
9921234,5
7846621,1
3063762,6
7230281,2
7645170,1
9834627,2
1561943,5
8159623,3
4745105,2
6238198,5
6536712,2
6835837,3
9840782,6
9817473,8
4677724,2
8757935,1
9670187,1
1530338,6
4057212,8
8766616,1
7031680,1
1491069,4
7532437,6
9660215,5
4478979,3
8803684,1
2673030,2
3225354,3
7152868,8
3179169,1
2224348,7
7604192,4
3982237,2
5566730,2
5654973,1
1776383,1
3854674,2
1919483,8
4651764,1
4474656,3
1795642,7
6065257,5
2785623,6
6818861,3
5879576,5
6302710,1
7664304,2
7612029,5
2827711,4
2466639,2
7181670,2
4657905,2
9911891,6
1812207,1
5788490,7
2018132,4
4750385,2
7389653,8
4829600,2
5870369,3
1664193,5
5738994,7
3891124,1
4956977,4
2280455,2
5442145,1
9690915,2
2879482,5
1676804,2
1413694,1
9095217,3
3440394,3
7639903,5
7843616,3
8658882,1
1129960,5
2195886,5
4147033,2
7484224,3
1053494,2
5054202,2
7522183,2
9272428,5
2668629,2
6887862,7
2408222,6
6827205,1
5479278,1
7293700,7
6211646,8
2287562,4
9906740,4
6712888,4
7215367,2
4619709,6
4991295,2
8862316,2
1405780,6
2823054,1
6666497,7
8970659,2
5808184,1
5629721,1
1354971,8
7028838,2
6628173,5
2450232,1
1158974,4
3553918,3
7451075,6
6551842,8
2712784,7
6403752,3
2917990,5
2290191,2
2806364,2
2547943,3
1106746,6
9535518,5
5828115,1
3576888,1
1261876,2
6435719,8
1906946,2
4965840,2
9299909,1
1472878,2
1754200,6
4550812,6
6195783,1
1827020,2
1143355,8
7463157,3
6548879,4
3315170,4
7683859,2
8096711,2
6037264,5
3882846,7
5924179,3
5703892,2
1145961,8
2437167,3
1280772,5
2527454,5
6522603,1
8349253,2
8041643,5
2504295,7
3880218,1
9117275,5
2941924,1
2318131,6
4759027,2
3193576,5
6501833,1
2086725,2
1741042,5
9227318,6
2159580,5
4113682,2
8022158,1
8762907,1
9452509,2
8942397,2
1349385,2
8647776,5
1693664,2
1006766,3
6504706,1
1175738,5
3112039,3
3651976,2
8932144,4
3136993,7
4370183,4
4669473,3
5221252,4
8266878,2
3586170,8
2713847,3
8937390,3
2461650,2
6694423,2
9887579,7
4426179,1
2957461,5
9060346,1
2532590,7
9320663,3
4365639,5
8781830,4
7822141,5
5455986,2
9846653,5
2210268,3
7014920,5
6971055,4
6847886,2
6256313,3
1204272,8
1687158,3
6337872,2
1324975,2
5513702,4
2706404,2
3580959,2
6263728,3
2113672,6
1390101,1
5119108,5
1949303,2
6140467,3
8037047,4
8006342,5
8095372,2
2511704,4
5216363,1
1558751,7
4929533,3
6191127,1
6852753,8
8307807,3
2832254,5
8320902,6
5356962,3
5871018,1
2963545,6
4576628,4
2958101,4
2614982,1
2048847,2
4468799,8
5807306,3
2920788,6
2775664,2
4495015,5
4265712,1
2325498,3
7104613,1
5835284,5
9696565,2
4175000,8
4868508,2
8385863,8
