primary_identifier,next_month_plan
2003793,1
1776101,1
6945050,7
2472049,1
7197266,1
2099980,1
4515595,1
4155971,1
4203824,1
4397850,1
5564784,1
8042819,1
4887835,1
7876737,1
8586725,1
4192710,7
8692886,7
2734029,1
8619873,1
8591720,7
2736902,1
1302512,7
6236339,8
2515939,1
4007286,5
4189111,7
1198957,1
7630599,1
5179554,1
3849110,8
9921234,7
7846621,1
3063762,7
7230281,1
7645170,1
9834627,1
1561943,8
8159623,7
4745105,1
6238198,1
6536712,1
6835837,1
9840782,7
9817473,7
4677724,1
8757935,1
9670187,1
1530338,7
4057212,8
8766616,1
7031680,1
1491069,1
7532437,8
9660215,1
4478979,1
8803684,1
2673030,1
3225354,1
7152868,7
3179169,1
2224348,8
7604192,1
3982237,1
5566730,1
5654973,1
1776383,1
3854674,1
1919483,7
4651764,1
4474656,1
1795642,7
6065257,1
2785623,7
6818861,1
5879576,7
6302710,1
7664304,1
7612029,7
2827711,1
2466639,1
7181670,1
4657905,1
9911891,8
1812207,1
5788490,5
2018132,1
4750385,1
7389653,1
4829600,1
5870369,1
1664193,1
5738994,7
3891124,1
4956977,1
2280455,1
5442145,1
9690915,1
2879482,7
1676804,1
1413694,1
9095217,1
3440394,1
7639903,1
7843616,1
8658882,1
1129960,7
2195886,1
4147033,1
7484224,1
1053494,1
5054202,1
7522183,1
9272428,1
2668629,1
6887862,5
2408222,8
6827205,1
5479278,1
7293700,1
6211646,7
2287562,1
9906740,1
6712888,1
7215367,1
4619709,1
4991295,1
8862316,1
1405780,7
2823054,1
6666497,5
8970659,1
5808184,1
5629721,1
1354971,7
7028838,1
6628173,7
2450232,1
1158974,1
3553918,1
7451075,7
6551842,8
2712784,8
6403752,1
2917990,1
2290191,1
2806364,1
2547943,1
1106746,7
9535518,6
5828115,1
3576888,1
1261876,1
6435719,8
1906946,1
4965840,1
9299909,1
1472878,1
1754200,7
4550812,7
6195783,1
1827020,1
1143355,5
7463157,1
6548879,1
3315170,1
7683859,1
8096711,1
6037264,7
3882846,1
5924179,1
5703892,1
1145961,5
2437167,1
1280772,1
2527454,7
6522603,1
8349253,1
8041643,7
2504295,7
3880218,7
9117275,7
2941924,1
2318131,1
4759027,1
3193576,4
6501833,1
2086725,1
1741042,1
9227318,8
2159580,5
4113682,1
8022158,1
8762907,1
9452509,1
8942397,1
1349385,1
8647776,7
1693664,1
1006766,1
