primary_identifier,next_month_plan
2003793,1
1776101,1
6945050,1
2472049,1
7197266,2
2099980,1
4515595,1
4155971,1
4203824,1
4397850,1
5564784,1
8042819,3
4887835,2
7876737,1
8586725,1
4192710,1
8692886,1
2734029,1
8619873,1
8591720,1
2736902,1
1302512,2
6236339,8
2515939,1
4007286,1
4189111,2
1198957,1
7630599,2
5179554,1
3849110,2
9921234,2
7846621,1
3063762,2
7230281,1
7645170,1
9834627,2
1561943,2
8159623,1
4745105,1
6238198,1
6536712,1
6835837,2
9840782,1
9817473,7
4677724,1
8757935,1
9670187,1
1530338,2
4057212,1
8766616,1
7031680,1
1491069,2
7532437,2
9660215,1
4478979,1
8803684,1
2673030,2
3225354,1
7152868,1
3179169,1
2224348,1
7604192,2
3982237,1
5566730,1
5654973,1
1776383,1
3854674,1
1919483,5
4651764,1
4474656,1
1795642,1
6065257,1
2785623,1
6818861,1
5879576,1
6302710,1
7664304,1
7612029,6
2827711,3
2466639,1
7181670,1
4657905,1
9911891,6
1812207,2
5788490,1
2018132,2
4750385,2
7389653,1
4829600,1
5870369,1
1664193,1
5738994,1
3891124,1
4956977,2
2280455,1
5442145,1
9690915,1
2879482,2
1676804,1
1413694,1
9095217,1
3440394,3
7639903,1
7843616,1
8658882,1
1129960,1
2195886,1
4147033,1
7484224,4
1053494,1
5054202,1
7522183,1
9272428,1
2668629,1
6887862,1
2408222,2
6827205,1
5479278,1
7293700,1
6211646,1
2287562,1
9906740,2
6712888,2
7215367,2
4619709,1
4991295,1
8862316,1
1405780,1
2823054,1
6666497,1
8970659,1
5808184,2
5629721,1
1354971,7
7028838,1
6628173,1
2450232,1
1158974,1
3553918,2
7451075,1
6551842,6
2712784,6
6403752,2
2917990,1
2290191,1
2806364,1
2547943,1
1106746,7
9535518,2
5828115,1
3576888,1
1261876,1
6435719,1
1906946,1
4965840,1
9299909,1
1472878,1
1754200,1
4550812,5
6195783,2
1827020,1
1143355,1
7463157,1
6548879,1
3315170,4
7683859,1
8096711,1
6037264,1
3882846,1
5924179,4
5703892,1
1145961,1
2437167,1
1280772,1
2527454,1
6522603,1
8349253,1
8041643,2
2504295,2
3880218,2
9117275,1
2941924,1
2318131,1
4759027,1
3193576,1
6501833,1
2086725,4
1741042,1
9227318,7
2159580,1
4113682,4
8022158,1
8762907,1
9452509,1
8942397,1
1349385,2
8647776,2
1693664,1
1006766,1
