primary_identifier,next_month_plan
2003793,1
1776101,2
6945050,3
2472049,8
7197266,5
2099980,1
4515595,3
4155971,2
4203824,1
4397850,2
5564784,1
8042819,4
4887835,1
7876737,1
8586725,1
4192710,6
8692886,6
2734029,5
8619873,1
8591720,6
2736902,5
1302512,5
6236339,5
2515939,2
4007286,3
4189111,5
1198957,4
7630599,2
5179554,2
3849110,8
9921234,6
7846621,1
3063762,1
7230281,1
7645170,1
9834627,2
1561943,2
8159623,8
4745105,2
6238198,3
6536712,2
6835837,4
9840782,7
9817473,8
4677724,2
8757935,1
9670187,3
1530338,1
4057212,6
8766616,1
7031680,2
1491069,2
7532437,6
9660215,1
4478979,4
8803684,1
2673030,4
3225354,1
7152868,8
3179169,2
2224348,7
7604192,4
3982237,3
5566730,2
5654973,1
1776383,2
3854674,4
1919483,8
4651764,2
4474656,2
1795642,6
6065257,1
2785623,7
6818861,3
5879576,6
6302710,2
7664304,3
7612029,7
2827711,3
2466639,3
7181670,4
4657905,2
9911891,6
1812207,6
5788490,3
2018132,4
4750385,2
7389653,1
4829600,2
5870369,3
1664193,6
5738994,1
3891124,1
4956977,5
2280455,4
5442145,1
9690915,3
2879482,5
1676804,7
1413694,2
9095217,1
3440394,3
7639903,8
7843616,3
8658882,1
1129960,6
2195886,5
4147033,3
7484224,2
1053494,2
5054202,1
7522183,1
9272428,5
2668629,2
6887862,7
2408222,7
6827205,2
5479278,2
7293700,2
6211646,6
2287562,4
9906740,4
6712888,4
7215367,1
4619709,1
4991295,2
8862316,1
1405780,1
2823054,1
6666497,7
8970659,2
5808184,2
5629721,1
1354971,8
7028838,1
6628173,5
2450232,2
1158974,3
3553918,3
7451075,5
6551842,7
2712784,8
6403752,3
2917990,6
2290191,2
2806364,3
2547943,2
1106746,6
9535518,6
5828115,1
3576888,2
1261876,4
6435719,3
1906946,1
4965840,1
9299909,1
1472878,1
1754200,5
4550812,8
6195783,2
1827020,2
1143355,8
7463157,2
6548879,4
3315170,4
7683859,2
8096711,1
6037264,6
3882846,3
5924179,4
5703892,4
1145961,7
2437167,4
1280772,3
2527454,6
6522603,1
8349253,1
8041643,7
2504295,6
3880218,2
9117275,7
2941924,1
2318131,2
4759027,2
3193576,3
6501833,1
2086725,2
1741042,5
9227318,7
2159580,5
4113682,1
8022158,1
8762907,1
9452509,2
8942397,1
1349385,2
8647776,5
1693664,4
1006766,3
6504706,2
1175738,5
3112039,4
3651976,2
8932144,4
3136993,5
4370183,1
4669473,1
5221252,4
8266878,2
3586170,7
2713847,4
8937390,2
2461650,2
6694423,2
9887579,7
4426179,3
2957461,8
9060346,2
2532590,1
9320663,4
4365639,3
8781830,4
7822141,5
5455986,2
9846653,8
2210268,4
7014920,5
6971055,4
6847886,3
6256313,3
1204272,7
1687158,2
6337872,3
1324975,1
5513702,3
2706404,2
3580959,1
6263728,1
2113672,6
1390101,1
5119108,1
1949303,4
6140467,3
8037047,4
8006342,1
8095372,1
2511704,3
5216363,1
1558751,3
4929533,2
6191127,1
6852753,7
8307807,4
2832254,5
8320902,5
5356962,3
5871018,2
2963545,5
4576628,4
2958101,3
2614982,1
2048847,1
4468799,7
5807306,3
2920788,6
2775664,2
4495015,8
4265712,1
2325498,3
7104613,1
5835284,6
9696565,1
4175000,7
4868508,4
8385863,8
