primary_identifier,next_month_plan
2003793,2
1776101,2
6945050,4
2472049,1
7197266,5
2099980,2
4515595,2
4155971,2
4203824,1
4397850,1
5564784,4
8042819,2
4887835,1
7876737,1
8586725,2
4192710,6
8692886,5
2734029,5
8619873,5
8591720,6
2736902,3
1302512,7
6236339,8
2515939,1
4007286,4
4189111,3
1198957,4
7630599,2
5179554,2
3849110,6
9921234,6
7846621,4
3063762,6
7230281,1
7645170,3
9834627,3
1561943,3
8159623,2
4745105,4
6238198,2
6536712,2
6835837,4
9840782,6
9817473,7
4677724,2
8757935,3
9670187,2
1530338,5
4057212,7
8766616,3
7031680,2
1491069,1
7532437,7
9660215,2
4478979,4
8803684,1
2673030,2
3225354,4
7152868,6
3179169,2
2224348,7
7604192,4
3982237,3
5566730,2
5654973,1
1776383,1
3854674,2
1919483,7
4651764,1
4474656,3
1795642,6
6065257,2
2785623,6
6818861,4
5879576,6
6302710,2
7664304,2
7612029,6
2827711,4
2466639,4
7181670,2
4657905,1
9911891,6
1812207,2
5788490,4
2018132,4
4750385,1
7389653,2
4829600,4
5870369,4
1664193,5
5738994,5
3891124,1
4956977,5
2280455,1
5442145,2
9690915,4
2879482,5
1676804,2
1413694,1
9095217,1
3440394,4
7639903,3
7843616,4
8658882,1
1129960,5
2195886,2
4147033,4
7484224,3
1053494,2
5054202,2
7522183,2
9272428,5
2668629,1
6887862,6
2408222,6
6827205,1
5479278,2
7293700,2
6211646,6
2287562,4
9906740,4
6712888,3
7215367,1
4619709,5
4991295,2
8862316,3
1405780,6
2823054,1
6666497,5
8970659,4
5808184,2
5629721,2
1354971,8
7028838,2
6628173,5
2450232,2
1158974,4
3553918,4
7451075,5
6551842,6
2712784,8
6403752,4
2917990,2
2290191,4
2806364,2
2547943,2
1106746,6
9535518,5
5828115,2
3576888,2
1261876,2
6435719,4
1906946,4
4965840,1
9299909,1
1472878,2
1754200,5
4550812,8
6195783,2
1827020,2
1143355,5
7463157,2
6548879,4
3315170,4
7683859,2
8096711,1
6037264,5
3882846,4
5924179,4
5703892,4
1145961,2
2437167,4
1280772,5
2527454,5
6522603,4
8349253,2
8041643,5
2504295,7
3880218,2
9117275,5
2941924,2
2318131,2
4759027,2
3193576,5
6501833,2
2086725,4
1741042,2
9227318,7
2159580,6
4113682,3
8022158,2
8762907,5
9452509,4
8942397,1
1349385,4
8647776,5
1693664,4
1006766,1
6504706,2
1175738,5
3112039,1
3651976,2
8932144,4
3136993,6
4370183,2
4669473,4
5221252,4
8266878,4
3586170,8
2713847,3
8937390,2
2461650,2
6694423,2
9887579,6
