primary_identifier,next_month_plan
2003793,1
1776101,1
6945050,1
2472049,4
7197266,8
2099980,1
4515595,1
4155971,1
4203824,3
4397850,4
5564784,1
8042819,4
4887835,6
7876737,1
8586725,2
4192710,1
8692886,2
2734029,5
8619873,1
8591720,5
2736902,6
1302512,8
6236339,5
2515939,4
4007286,1
4189111,6
1198957,3
7630599,3
5179554,8
3849110,7
9921234,1
7846621,3
3063762,8
7230281,6
7645170,3
9834627,5
1561943,4
8159623,2
4745105,6
6238198,5
6536712,5
6835837,8
9840782,5
9817473,5
4677724,1
8757935,2
9670187,6
1530338,8
4057212,8
8766616,6
7031680,1
1491069,4
7532437,1
9660215,2
4478979,8
8803684,1
2673030,6
3225354,2
7152868,6
3179169,5
2224348,8
7604192,8
3982237,4
5566730,4
5654973,5
1776383,8
3854674,4
1919483,6
4651764,4
4474656,1
1795642,5
6065257,2
2785623,5
6818861,2
5879576,5
6302710,3
7664304,5
7612029,3
2827711,8
2466639,5
7181670,4
4657905,2
9911891,6
1812207,6
5788490,2
2018132,1
4750385,6
7389653,5
4829600,1
5870369,3
1664193,2
5738994,2
3891124,5
4956977,6
2280455,1
5442145,1
9690915,5
2879482,5
1676804,1
1413694,2
9095217,1
3440394,2
7639903,3
7843616,4
8658882,3
1129960,6
2195886,6
4147033,2
7484224,6
1053494,1
5054202,4
7522183,6
9272428,7
2668629,8
6887862,5
2408222,1
6827205,1
5479278,8
7293700,8
6211646,6
2287562,3
9906740,4
6712888,4
7215367,8
4619709,3
4991295,5
8862316,1
1405780,1
2823054,8
6666497,5
8970659,4
5808184,3
5629721,2
1354971,4
7028838,3
6628173,6
2450232,3
1158974,6
3553918,4
7451075,4
6551842,1
2712784,2
6403752,6
2917990,2
2290191,1
2806364,2
2547943,8
1106746,4
9535518,1
5828115,1
3576888,5
1261876,1
6435719,2
1906946,3
4965840,2
9299909,1
1472878,6
1754200,1
4550812,8
6195783,6
1827020,2
1143355,6
7463157,1
6548879,2
3315170,8
7683859,6
8096711,4
6037264,5
3882846,5
5924179,6
5703892,6
1145961,1
2437167,4
1280772,1
2527454,6
6522603,6
8349253,1
8041643,1
2504295,5
3880218,6
9117275,6
2941924,3
2318131,6
4759027,1
3193576,6
6501833,1
2086725,8
1741042,6
9227318,5
2159580,5
4113682,4
8022158,3
8762907,6
9452509,6
8942397,5
1349385,2
8647776,5
1693664,2
1006766,5
