primary_identifier,next_month_plan
2003793,1
1776101,1
6945050,4
2472049,1
7197266,5
2099980,7
4515595,1
4155971,1
4203824,3
4397850,1
5564784,4
8042819,4
4887835,1
7876737,1
8586725,6
4192710,6
8692886,6
2734029,3
8619873,5
8591720,6
2736902,5
1302512,7
6236339,8
2515939,3
4007286,3
4189111,5
1198957,3
7630599,1
5179554,3
3849110,5
9921234,6
7846621,1
3063762,5
7230281,1
7645170,1
9834627,3
1561943,5
8159623,6
4745105,2
6238198,2
6536712,1
6835837,1
9840782,6
9817473,6
4677724,2
8757935,5
9670187,2
1530338,5
4057212,6
8766616,4
7031680,1
1491069,3
7532437,6
9660215,2
4478979,4
8803684,1
2673030,1
3225354,4
7152868,8
3179169,1
2224348,7
7604192,4
3982237,2
5566730,2
5654973,1
1776383,3
3854674,1
1919483,8
4651764,2
4474656,1
1795642,6
6065257,2
2785623,6
6818861,3
5879576,6
6302710,1
7664304,1
7612029,5
2827711,4
2466639,4
7181670,4
4657905,1
9911891,8
1812207,3
5788490,8
2018132,2
4750385,2
7389653,3
4829600,3
5870369,3
1664193,6
5738994,6
3891124,1
4956977,5
2280455,2
5442145,1
9690915,1
2879482,5
1676804,1
1413694,1
9095217,1
3440394,3
7639903,3
7843616,3
8658882,1
1129960,6
2195886,1
4147033,1
7484224,5
1053494,2
5054202,3
7522183,1
9272428,5
2668629,1
6887862,5
2408222,6
6827205,2
5479278,2
7293700,3
6211646,6
2287562,1
9906740,2
6712888,5
7215367,5
4619709,5
4991295,2
8862316,1
1405780,8
2823054,5
6666497,6
8970659,2
5808184,2
5629721,4
1354971,8
7028838,1
6628173,5
2450232,1
1158974,1
3553918,6
7451075,5
6551842,8
2712784,8
6403752,3
2917990,1
2290191,2
2806364,1
2547943,1
1106746,6
9535518,8
5828115,1
3576888,1
1261876,1
6435719,8
1906946,2
4965840,2
9299909,1
1472878,1
1754200,5
4550812,8
6195783,2
1827020,1
1143355,6
7463157,3
6548879,3
3315170,4
7683859,4
8096711,1
6037264,6
3882846,4
5924179,4
5703892,1
1145961,3
2437167,4
1280772,2
2527454,6
6522603,3
8349253,1
8041643,6
2504295,6
3880218,7
9117275,5
2941924,3
2318131,2
4759027,2
3193576,5
6501833,1
2086725,4
1741042,5
9227318,5
2159580,5
4113682,3
8022158,1
8762907,1
9452509,2
8942397,1
1349385,1
8647776,5
1693664,4
1006766,1
