primary_identifier,next_month_plan
2003793,1
1776101,2
6945050,2
2472049,1
7197266,5
2099980,2
4515595,3
4155971,2
4203824,3
4397850,1
5564784,3
8042819,4
4887835,1
7876737,3
8586725,7
4192710,5
8692886,5
2734029,1
8619873,1
8591720,7
2736902,3
1302512,7
6236339,8
2515939,1
4007286,3
4189111,5
1198957,4
7630599,2
5179554,3
3849110,6
9921234,6
7846621,3
3063762,7
7230281,1
7645170,1
9834627,2
1561943,7
8159623,7
4745105,3
6238198,2
6536712,2
6835837,3
9840782,7
9817473,1
4677724,2
8757935,3
9670187,4
1530338,6
4057212,4
8766616,1
7031680,2
1491069,3
7532437,6
9660215,6
4478979,3
8803684,2
2673030,3
3225354,3
7152868,6
3179169,1
2224348,7
7604192,3
3982237,5
5566730,1
5654973,1
1776383,1
3854674,2
1919483,5
4651764,7
4474656,2
1795642,7
6065257,6
2785623,6
6818861,4
5879576,6
6302710,2
7664304,2
7612029,6
2827711,4
2466639,3
7181670,2
4657905,1
9911891,8
1812207,1
5788490,1
2018132,4
4750385,2
7389653,4
4829600,3
5870369,3
1664193,5
5738994,7
3891124,1
4956977,4
2280455,2
5442145,1
9690915,2
2879482,5
1676804,1
1413694,1
9095217,2
3440394,4
7639903,3
7843616,4
8658882,1
1129960,6
2195886,2
4147033,4
7484224,4
1053494,3
5054202,2
7522183,3
9272428,5
2668629,1
6887862,7
2408222,5
6827205,2
5479278,1
7293700,4
6211646,6
2287562,4
9906740,4
6712888,7
7215367,5
4619709,5
4991295,2
8862316,2
1405780,3
2823054,3
6666497,7
8970659,2
5808184,1
5629721,3
1354971,8
7028838,1
6628173,5
2450232,1
1158974,2
3553918,4
7451075,7
6551842,7
2712784,7
6403752,3
2917990,2
2290191,4
2806364,1
2547943,1
1106746,7
9535518,5
5828115,3
3576888,2
1261876,4
6435719,5
1906946,3
4965840,1
9299909,1
1472878,1
1754200,5
4550812,8
6195783,1
1827020,2
1143355,5
7463157,3
6548879,4
3315170,4
7683859,4
8096711,1
6037264,5
3882846,4
5924179,4
5703892,1
1145961,4
2437167,4
1280772,3
2527454,6
6522603,3
8349253,2
8041643,6
2504295,7
3880218,1
9117275,5
2941924,1
2318131,2
4759027,4
3193576,5
6501833,2
2086725,3
1741042,3
9227318,6
2159580,5
4113682,3
8022158,2
8762907,3
9452509,3
8942397,2
1349385,3
8647776,5
1693664,4
1006766,1
6504706,3
1175738,5
3112039,3
3651976,2
8932144,4
3136993,7
4370183,3
4669473,2
5221252,4
8266878,2
3586170,7
2713847,3
8937390,3
2461650,3
6694423,3
9887579,7
4426179,2
2957461,5
9060346,6
2532590,8
9320663,2
4365639,4
8781830,1
7822141,6
5455986,4
9846653,8
2210268,3
7014920,1
6971055,4
6847886,4
6256313,3
1204272,7
1687158,4
6337872,3
1324975,1
5513702,4
2706404,2
3580959,2
6263728,3
2113672,6
1390101,1
5119108,1
1949303,3
6140467,3
8037047,4
8006342,2
8095372,4
2511704,4
5216363,1
1558751,3
4929533,1
6191127,2
6852753,7
8307807,2
2832254,2
8320902,7
5356962,3
5871018,2
2963545,4
4576628,4
2958101,4
2614982,1
2048847,2
4468799,7
5807306,3
2920788,7
2775664,2
4495015,4
4265712,3
2325498,3
7104613,1
5835284,5
9696565,1
4175000,7
4868508,3
8385863,8
