primary_identifier,next_month_plan
2003793,1
1776101,1
6945050,1
2472049,8
7197266,8
2099980,1
4515595,1
4155971,1
4203824,1
4397850,1
5564784,3
8042819,1
4887835,1
7876737,1
8586725,6
4192710,5
8692886,5
2734029,1
8619873,6
8591720,6
2736902,5
1302512,8
6236339,5
2515939,3
4007286,1
4189111,1
1198957,3
7630599,1
5179554,8
3849110,6
9921234,5
7846621,3
3063762,1
7230281,1
7645170,1
9834627,1
1561943,1
8159623,1
4745105,5
6238198,6
6536712,1
6835837,3
9840782,6
9817473,8
4677724,5
8757935,1
9670187,1
1530338,1
4057212,1
8766616,1
7031680,1
1491069,4
7532437,5
9660215,1
4478979,1
8803684,5
2673030,1
3225354,1
7152868,5
3179169,1
2224348,6
7604192,1
3982237,1
5566730,1
5654973,1
1776383,1
3854674,1
1919483,6
4651764,2
4474656,1
1795642,6
6065257,1
2785623,5
6818861,1
5879576,6
6302710,1
7664304,1
7612029,1
2827711,3
2466639,1
7181670,1
4657905,1
9911891,6
1812207,1
5788490,6
2018132,3
4750385,1
7389653,1
4829600,5
5870369,3
1664193,1
5738994,6
3891124,1
4956977,1
2280455,3
5442145,1
9690915,3
2879482,8
1676804,1
1413694,1
9095217,1
3440394,1
7639903,1
7843616,1
8658882,1
1129960,6
2195886,5
4147033,1
7484224,5
1053494,5
5054202,1
7522183,1
9272428,6
2668629,1
6887862,6
2408222,5
6827205,1
5479278,1
7293700,8
6211646,6
2287562,1
9906740,3
6712888,4
7215367,1
4619709,1
4991295,1
8862316,1
1405780,1
2823054,1
6666497,6
8970659,1
5808184,1
5629721,8
1354971,6
7028838,1
6628173,5
2450232,1
1158974,1
3553918,1
7451075,6
6551842,6
2712784,7
6403752,3
2917990,1
2290191,3
2806364,1
2547943,1
1106746,6
9535518,5
5828115,1
3576888,1
1261876,1
6435719,1
1906946,1
4965840,1
9299909,1
1472878,1
1754200,6
4550812,6
6195783,1
1827020,1
1143355,6
7463157,1
6548879,1
3315170,3
7683859,1
8096711,1
6037264,6
3882846,5
5924179,1
5703892,1
1145961,5
2437167,1
1280772,1
2527454,6
6522603,1
8349253,1
8041643,6
2504295,1
3880218,1
9117275,5
2941924,1
2318131,6
4759027,1
3193576,1
6501833,1
2086725,1
1741042,5
9227318,6
2159580,5
4113682,4
8022158,1
8762907,1
9452509,5
8942397,1
1349385,3
8647776,6
1693664,3
1006766,1
